BLOCK_NUMBER,BLOCK_TIMESTAMP,TX_HASH,SENDER,RECIPIENT,POOL_ADDRESS,TOKEN0_SYMBOL,TOKEN1_SYMBOL,AMOUNT0_ADJUSTED,AMOUNT1_ADJUSTED,AMOUNT0_USD,AMOUNT1_USD,SLIPPAGE_RATIO,GAS_PRICE_GWEI,SWAP_USD,HOUR_OF_DAY,IS_HIGH_SLIPPAGE,IS_SAME_SENDER_RECIPIENT,anomaly_score,is_anomaly
22474253,2025-05-13 12:18:11.000,0xf0ca8a25c1e35855cb1a7817c62c0334c0341418b65bd209074988f10de6e4f9,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC,WETH,-139791.493381,55.906097321,-139791.35,138741.04,-0.992486588,217.674629079,138741.04,12,False,True,-0.10695333965982923,1
22474248,2025-05-13 12:17:11.000,0x1c8111f6e79effc07ff4d4b52192904ea0d2ba7f6f1792739a5e43e0e6b87b54,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,0x56534741cd8b152df6d48adf7ac51f75169a83b2,WBTC,USDT,-0.48379614,50082.845858,-49954.37,50082.85,-1.002571947,68.327224769,50082.85,12,False,True,-0.005700447300839295,1
22474248,2025-05-13 12:17:11.000,0x3b010137203072824e9eaa0b4e8f4d23319ad6c2aa6a056e180f6a50d53b1c4d,0xe592427a0aece92de3edee1f18e0157c05861564,0xf5213a6a2f0890321712520b8048d9886c1a9900,0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,WBTC,USDC,-0.28943797,29991.220541,-29885.92,29991.19,-1.003522394,23.304995831,29991.19,12,False,False,-0.0005943390990306163,1
22474248,2025-05-13 12:17:11.000,0x8a2887653463349d3ec373673a2bf31194b5de002a44174dc39ff4bde70e9f2d,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,WETH,USDT,-31.730687431,78977.434368,-78745.41,78977.43,-1.002946457,71.190980533,78977.43,12,False,True,-0.02698194338684312,1
22474244,2025-05-13 12:16:23.000,0xa95b5a099c6fbd6ee7c6d19d770ffdd1a0a000ea3a4cad350c6750e24a4aa6a6,0xf3fe03cd60d1f138ebc106ce9575475100ebfc9a,0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x4e665157291dbcb25152ebb01061e4012f58add2,USD0,USDC,106023.530080865,-105796.924812,105798.55,-105796.82,-0.9999836482,3.437221305,105798.55,12,False,False,-0.004251232891008927,1
22474242,2025-05-13 12:15:59.000,0x34f6c8911491696228506a2495129a2420fcca6c082f8a5042d883e1c4884961,0xe592427a0aece92de3edee1f18e0157c05861564,0xf5213a6a2f0890321712520b8048d9886c1a9900,0x56534741cd8b152df6d48adf7ac51f75169a83b2,WBTC,USDT,-0.28968827,29981.677333,-29911.76,29981.68,-1.002337542,22.814406475,29981.68,12,False,False,-0.00010650118039012835,1
22474241,2025-05-13 12:15:47.000,0xcb54f910c6d21fcca1d0d5750e820be099afc563bcaef7c612419d13b4b25aee,0x828ae1566824a9835acb6f565e1e9ea22bfb883a,0x8d02988296949cd054623802c1115973a9afe307,0x41b5b06ccf883fc1652e8d4f73a444f6bb75e384,WETH,RATO,0.778843181,-73641719.7106135,1932.84,-2217.35,-1.147197906,73.904486902,1932.84,12,False,False,-0.05224561514906789,1
22474233,2025-05-13 12:14:11.000,0xc2a02f6e75c7aa7dd6e48d173ac061fd80c87ded794eca80a1a0456a8f3d183f,0x738e79fbc9010521763944ddf13aad7f61502221,0x62d63efdfdc7804666725f4cc8cb45c1a41a0809,0x41b5b06ccf883fc1652e8d4f73a444f6bb75e384,WETH,RATO,0.6030576089,-59455810.5573436,1496.6,-1790.21,-1.196184685,42.274321121,1496.6,12,False,False,-0.028156773261727164,1
22474232,2025-05-13 12:13:59.000,0x09b467d5d831cf8c1847f6cb842fccb8d8976c3539cc4388fdea510b0123ca45,0xf3fe03cd60d1f138ebc106ce9575475100ebfc9a,0x9008d19f58aabd9ed0d60971565aa8510560ab41,0x4e665157291dbcb25152ebb01061e4012f58add2,USD0,USDC,120807.545746397,-120556.622377,120551.19,-120556.5,-1.000044048,3.096755521,120551.19,12,False,False,-0.01368299712342469,1
22474231,2025-05-13 12:13:47.000,0x4f7453b644a7152c0c35fc8afe686bedd5ba3c4e44933ab46ab6aee7bd652bad,0x1f2f10d1c40777ae1da742455c65828ff36df387,0x1f2f10d1c40777ae1da742455c65828ff36df387,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,WETH,USDT,-32.759947934,81298.938368,-81299.71,81298.94,-0.9999905289,71.179398705,81298.94,12,False,True,-0.02779580199292986,1
